Reference Number,Easting,Northing,Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
10CA0000317,424964,427568,1,1,13-Jan-10,0139,3,Frost/ Ice,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,39,21
10CA0001024,429797,433779,2,1,13-Jan-10,0830,6,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,9
10BA0000322,430725,435018,2,1,14-Jan-10,1900,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,61,9
10BA0000388,436093,434819,2,1,14-Jan-10,1900,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,16,1
10BA0000384,434455,433701,2,1,15-Jan-10,1615,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,14,9
10BA0000555,430801,438596,1,1,15-Jan-10,1800,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,17,9
10CA0000326,425689,426886,1,1,15-Jan-10,1339,4,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,62,11
10CA0000391,429188,431294,1,1,15-Jan-10,0905,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Male,44,9
10AA0000302,425218,437646,1,1,16-Jan-10,0100,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,25,9
10AA0000338,425824,429806,1,1,16-Jan-10,1325,3,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59,8
10BA0000406,432090,435866,1,1,16-Jan-10,2100,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,36,9
10CA0000332,425687,426882,1,1,16-Jan-10,1210,4,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,14,11
10MU0000431,436189,431145,1,1,16-Jan-10,0927,1,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,23,9
10BA0000381,443329,437455,1,1,17-Jan-10,1445,6,Snow,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,16,9
10AA0000397,428527,434276,3,2,18-Jan-10,1635,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,35,8
10AA0000397,428527,434276,3,2,18-Jan-10,1635,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,43,9
10AA0000400,425062,433368,2,1,18-Jan-10,2056,4,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,22,9
10AA0000677,427712,433705,2,1,18-Jan-10,1100,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,48,9
10BA0000494,431782,437636,2,1,18-Jan-10,1250,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,67,9
10CA0000435,429972,433280,2,1,18-Jan-10,0745,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,31,1
10MU0000428,432336,426036,2,1,18-Jan-10,0741,1,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,39,9
10AA0000450,420069,440803,2,1,19-Jan-10,0717,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,36,1
10MU0000429,430186,432023,2,1,19-Jan-10,1702,1,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,58,9
10AA0000480,429067,435488,3,1,20-Jan-10,2000,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,46,8
10AA0000567,428966,435475,2,1,20-Jan-10,1945,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,20,8
10BA0000493,432515,435811,1,1,20-Jan-10,1500,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,30,9
10CA0000451,430636,433680,2,1,20-Jan-10,2013,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,37,1
10AA0000457,426026,432976,1,1,21-Jan-10,0815,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,13,8
10AA0000474,426982,439914,2,1,21-Jan-10,1045,3,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,38,9
10AA0000486,427480,433696,2,1,21-Jan-10,0835,3,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,32,2
10CA0000481,431038,430851,1,1,21-Jan-10,1710,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,13,9
